County,Date,WholeSale,Commodity_Classification,Year_Week,WeekofYear
Kiambu,2025-11-10,38.33,Dry_White_Maize,2025-46,46
Kirinyaga,2025-11-10,38.89,Dry_White_Maize,2025-46,46
Mombasa,2025-11-10,36.11,Dry_White_Maize,2025-46,46
Nairobi,2025-11-10,36.80,Dry_White_Maize,2025-46,46
Uasin-Gishu,2025-11-10,33.22,Dry_White_Maize,2025-46,46
Kiambu,2025-11-17,38.33,Dry_White_Maize,2025-47,47
Kirinyaga,2025-11-17,38.89,Dry_White_Maize,2025-47,47
Mombasa,2025-11-17,36.11,Dry_White_Maize,2025-47,47
Nairobi,2025-11-17,36.75,Dry_White_Maize,2025-47,47
Uasin-Gishu,2025-11-17,32.78,Dry_White_Maize,2025-47,47
Kiambu,2025-11-24,37.78,Dry_White_Maize,2025-48,48
Kirinyaga,2025-11-24,38.33,Dry_White_Maize,2025-48,48
Mombasa,2025-11-24,36.11,Dry_White_Maize,2025-48,48
Nairobi,2025-11-24,36.81,Dry_White_Maize,2025-48,48
Uasin-Gishu,2025-11-24,32.55,Dry_White_Maize,2025-48,48
